,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,best_step
524,0,h,c,c,4,c,h,7,h,[4]
525,h,1,c,c,h,5,6,h,8,"[1, 5, 6, 8]"
526,0,1,2,c,c,5,h,h,8,[5]
527,0,1,h,h,h,c,c,c,8,[8]
528,0,h,2,h,c,5,h,c,8,[0]
529,0,1,c,h,4,5,6,c,h,"[1, 4]"
530,h,h,2,c,4,5,c,c,h,"[2, 4, 5]"
531,h,1,2,h,c,c,6,7,8,[6]
532,0,1,2,3,h,h,6,c,8,[3]
533,0,1,h,h,c,5,6,c,8,[1]
534,c,h,h,c,c,5,h,7,h,[5]
535,0,h,h,h,4,c,6,7,c,[0]
536,0,c,h,h,h,5,c,c,8,[8]
537,0,1,c,3,h,5,6,7,8,"[0, 1, 3, 5, 6, 7, 8]"
538,h,c,h,h,4,c,c,7,h,[4]
539,0,1,h,c,4,c,6,7,h,[4]
540,0,h,h,c,c,5,h,h,c,"[0, 5]"
541,0,1,h,3,4,5,6,h,c,"[1, 4]"
542,0,h,2,h,4,5,6,7,c,"[2, 6]"
543,0,h,2,3,h,5,6,c,c,[6]
544,c,h,c,h,4,h,h,c,c,[4]
545,0,h,2,c,4,5,c,7,h,[0]
546,h,c,2,c,h,5,6,7,8,[8]
547,0,1,h,h,c,5,6,7,c,[0]
548,c,1,2,h,c,h,h,c,h,[1]
549,h,1,c,3,h,c,6,h,8,[8]
550,0,1,c,c,h,h,6,7,h,[0]
551,0,1,h,c,c,5,h,h,8,[5]
552,c,h,c,c,h,h,6,c,h,[6]
553,0,1,h,c,h,c,c,h,h,[0]
554,h,h,2,3,4,c,6,7,c,[2]
555,h,1,2,c,4,5,h,7,8,[4]
556,0,c,h,3,h,h,c,h,c,[3]
557,h,1,c,3,h,h,c,c,8,[8]
558,h,c,2,h,4,h,c,c,8,"[4, 8]"
559,0,h,c,c,h,5,6,7,h,"[0, 5, 6, 7]"
560,0,1,2,h,c,c,h,h,8,"[0, 1, 2, 8]"
561,h,c,c,3,h,5,h,h,c,[5]
562,h,1,c,c,4,5,h,h,8,[8]
563,0,c,2,h,4,h,h,7,c,"[0, 2, 4, 7]"
564,h,1,c,h,h,5,c,h,c,[5]
565,h,1,2,c,4,h,6,h,c,"[1, 2, 4]"
566,c,c,2,h,h,c,c,h,h,[2]
567,0,1,h,c,4,5,h,c,8,[4]
568,c,h,2,c,h,c,6,7,h,[6]
569,h,h,2,3,c,c,c,h,8,"[2, 3]"
570,0,1,2,c,h,h,6,7,8,"[0, 2, 6, 8]"
571,0,h,2,3,c,5,h,7,8,"[0, 2, 3, 5]"
572,h,c,h,c,4,h,c,7,8,[8]
573,c,c,h,h,h,c,c,7,h,[7]
574,0,h,2,3,4,5,6,c,h,"[0, 2]"
575,h,1,h,c,c,h,h,c,8,[1]
576,0,1,h,h,4,5,c,7,8,"[4, 5, 8]"
577,h,h,2,3,c,h,6,c,c,[6]
578,0,c,2,h,c,h,c,7,h,"[2, 7]"
579,0,1,c,c,h,5,h,7,8,"[0, 1, 7, 8]"
580,0,c,2,3,4,c,h,7,h,[7]
581,0,1,2,3,4,5,6,h,c,"[2, 4, 5]"
582,c,1,h,h,c,h,c,h,8,[8]
583,0,1,h,h,c,c,h,h,c,[0]
584,h,c,c,c,4,h,6,h,8,"[4, 6, 8]"
585,h,c,2,c,h,5,h,h,c,[2]
586,h,1,h,c,h,c,6,7,c,"[1, 6, 7]"
587,h,1,h,c,c,5,6,h,c,[5]
588,0,c,2,3,h,h,6,7,c,[3]
589,c,1,h,3,c,h,6,7,8,[8]
590,h,c,2,h,c,5,6,h,c,[6]
591,h,1,2,h,4,5,c,h,c,[2]
592,h,h,2,3,c,5,6,7,8,[2]
593,c,h,c,h,h,5,c,7,8,"[5, 7, 8]"
594,h,c,c,3,c,h,6,h,8,[6]
595,c,h,h,3,4,c,6,h,c,[4]
596,0,1,c,3,h,h,h,c,c,[3]
597,0,1,2,h,h,c,c,h,8,[1]
598,0,h,2,c,c,h,6,h,c,[0]
599,0,c,2,h,h,c,h,c,8,"[0, 2, 8]"
600,c,c,2,h,h,5,6,h,8,[2]
601,c,c,2,h,h,c,h,7,h,[2]
602,h,1,h,c,4,c,c,7,h,[4]
603,h,c,h,c,4,h,h,7,c,[4]
604,c,1,2,h,4,5,6,7,8,"[1, 2, 4]"
605,h,c,c,c,h,h,h,c,8,[8]
606,0,h,c,h,h,c,c,c,h,[0]
607,0,1,2,h,4,h,6,c,8,[4]
608,h,1,c,c,4,c,h,h,8,"[4, 8]"
609,c,1,2,3,h,c,h,h,8,"[1, 2, 3, 8]"
610,h,1,h,3,c,h,c,7,8,"[1, 3, 7, 8]"
611,0,h,c,3,h,5,6,7,8,[7]
612,h,1,c,3,4,h,6,c,8,"[4, 6]"
613,h,c,2,h,4,5,c,h,8,"[4, 5, 8]"
614,0,1,h,h,h,c,6,7,c,[6]
615,0,1,c,3,h,5,h,c,8,"[0, 3, 5, 8]"
616,c,h,c,h,c,5,h,c,h,[5]
617,0,1,2,h,c,5,6,7,8,"[0, 1, 2, 6, 7, 8]"
618,h,c,2,c,h,c,h,7,8,"[2, 7, 8]"
619,0,1,c,3,4,h,h,h,c,[0]
620,0,1,c,3,h,h,6,7,8,[3]
621,c,1,2,c,h,h,6,7,8,[6]
622,h,h,2,3,h,c,c,7,c,"[2, 7]"
623,0,1,c,3,h,c,6,7,h,[0]
624,c,h,h,h,c,c,h,7,8,[8]
625,0,h,2,c,4,h,6,7,c,"[0, 6]"
626,c,c,h,h,4,c,h,7,h,"[4, 7]"
627,c,1,2,3,4,h,c,h,8,[3]
628,c,1,h,h,h,c,c,7,h,"[1, 7]"
629,0,h,2,3,h,c,6,c,8,[8]
630,0,h,h,h,c,5,c,7,8,[0]
631,c,h,2,3,c,h,6,7,h,[2]
632,h,c,h,c,c,5,h,h,c,[5]
633,h,c,h,c,4,h,6,7,8,[8]
634,h,h,2,c,4,5,6,7,8,[2]
635,h,1,c,h,c,h,6,c,8,"[1, 6]"
636,h,c,2,h,h,5,c,c,8,[8]
637,0,1,c,3,4,h,6,c,h,"[1, 4]"
638,c,1,h,c,h,5,6,h,8,[6]
639,c,h,c,3,4,5,6,h,8,[4]
640,0,c,c,h,h,5,6,7,8,[0]
641,0,1,c,3,4,h,c,h,h,[4]
642,0,c,c,3,h,h,h,7,c,[0]
643,0,c,h,3,h,5,c,7,h,"[0, 3, 5, 7]"
644,0,1,2,h,4,c,6,7,h,"[0, 6]"
645,0,c,h,h,4,c,h,7,c,"[0, 4, 7]"
646,0,h,c,3,4,5,c,h,h,[4]
647,h,1,c,c,h,c,h,7,8,[8]
648,h,1,2,c,h,c,h,7,c,[2]
649,0,c,h,h,h,c,c,7,h,[0]
650,h,h,c,h,4,5,c,c,h,[4]
651,0,c,2,h,h,c,6,7,h,[0]
652,c,h,2,3,4,c,6,7,h,[3]
653,c,h,h,h,c,c,6,7,h,"[6, 7]"
654,c,c,2,3,h,h,6,7,h,[2]
655,0,h,h,c,4,c,6,h,c,[4]
656,c,1,h,c,4,h,h,h,c,[4]
657,0,1,2,3,c,h,h,7,8,"[1, 2, 7, 8]"
658,c,h,2,3,4,h,6,7,c,[4]
659,h,1,2,h,4,c,c,h,8,[2]
660,h,h,2,c,c,h,c,h,8,[2]
661,0,h,2,c,h,h,6,c,c,[6]
662,0,1,2,h,4,5,h,c,8,[0]
663,0,1,2,3,h,5,c,c,h,[0]
664,h,c,c,3,h,h,c,h,8,"[3, 8]"
665,0,h,c,h,4,5,6,h,c,[5]
666,0,1,c,c,h,5,c,h,h,[0]
667,0,1,c,3,h,5,6,7,h,[0]
668,c,h,h,3,4,5,6,7,8,"[3, 6]"
669,0,1,2,h,h,5,6,7,c,[5]
670,c,c,2,h,h,5,h,c,h,[2]
671,0,h,h,3,4,c,h,c,8,"[0, 3, 4, 8]"
672,c,h,c,3,h,c,h,c,h,[3]
673,h,c,c,h,h,5,c,h,c,[5]
674,0,h,2,3,h,c,h,c,c,[2]
675,h,1,h,c,h,h,6,c,c,[6]
676,0,c,2,3,h,5,c,7,h,[0]
677,h,1,h,c,4,5,h,c,c,"[1, 4, 5]"
678,0,h,h,c,4,5,c,7,8,[0]
679,c,h,h,c,4,5,h,c,8,[4]
680,h,1,2,3,4,5,6,h,c,"[1, 2, 4]"
681,c,1,h,3,h,5,6,c,h,"[1, 3, 5, 6]"
682,0,c,2,3,4,5,6,h,h,[6]
683,c,h,h,h,c,h,6,c,8,[8]
684,0,c,c,3,h,5,h,h,c,"[0, 5]"
685,0,c,c,h,h,5,h,7,c,"[0, 5]"
686,0,h,c,h,4,h,c,h,c,[4]
687,h,1,h,3,4,5,c,c,8,[8]
688,0,h,2,3,4,c,6,h,c,[2]
689,0,h,2,c,c,h,h,c,h,[2]
690,c,h,c,h,c,5,6,h,8,"[6, 8]"
691,0,c,c,h,c,h,6,h,8,"[0, 6]"
692,0,c,2,3,4,c,h,h,8,[8]
693,c,h,2,3,4,5,6,h,c,[4]
694,0,h,2,3,h,5,6,7,c,[7]
695,0,1,c,h,c,5,6,h,8,[6]
696,0,h,2,3,4,5,c,7,8,"[0, 4, 8]"
697,0,h,h,h,c,c,6,7,c,[0]
698,0,1,h,3,4,5,c,h,c,[0]
699,0,h,c,c,4,5,h,7,8,[5]
700,h,1,h,h,4,5,c,c,8,[8]
701,h,c,c,h,h,c,6,7,8,[8]
702,h,1,c,3,c,5,6,h,h,[6]
703,c,h,2,h,c,c,c,h,h,[2]
704,h,c,c,3,c,h,6,h,h,[6]
705,h,1,h,h,4,5,c,7,c,[7]
706,h,c,c,c,h,c,h,h,8,[8]
707,h,1,2,c,h,h,c,7,8,[8]
708,0,c,h,3,h,h,6,7,c,"[0, 3, 6, 7]"
709,c,1,2,h,c,h,c,h,8,"[2, 8]"
710,0,1,2,3,h,c,c,h,8,[1]
711,0,h,c,3,4,h,6,h,c,[4]
712,c,c,2,3,h,h,h,c,h,[2]
713,h,1,c,h,4,c,6,7,h,"[1, 4, 6, 7]"
714,0,h,2,h,c,c,6,7,8,"[2, 8]"
715,0,h,h,c,4,h,6,c,c,[6]
716,h,h,2,3,c,c,6,7,8,[3]
717,h,c,h,c,4,5,c,h,8,"[4, 5, 8]"
718,h,c,h,c,c,5,6,7,h,"[5, 7]"
719,h,1,2,3,4,5,h,c,8,[3]
720,h,1,c,c,4,h,6,7,8,"[1, 4, 6, 7, 8]"
721,c,h,h,3,4,h,6,7,c,[4]
722,0,h,h,h,c,c,h,c,8,[0]
723,0,1,c,3,c,5,h,h,8,[8]
724,c,1,c,h,4,c,h,h,8,"[1, 8]"
725,0,1,2,c,4,5,h,h,8,[8]
726,h,h,c,3,4,5,c,c,h,[4]
727,0,h,2,c,4,h,6,c,h,[2]
728,0,1,h,3,4,c,6,7,8,"[0, 1, 4, 6]"
729,0,c,2,3,4,5,h,7,8,[0]
730,0,c,c,h,4,h,6,c,h,"[0, 4]"
731,0,1,2,3,h,c,h,7,8,[2]
732,c,h,h,3,c,h,h,c,8,[8]
733,c,h,h,3,c,c,h,c,h,[3]
734,h,c,h,3,h,c,6,h,c,[6]
735,c,h,c,h,h,c,c,7,h,[7]
736,0,c,2,c,c,h,6,h,h,"[0, 2, 6]"
737,h,1,2,3,4,c,6,h,8,[4]
738,c,c,2,3,h,5,h,7,8,[2]
739,h,1,h,c,c,h,c,h,c,[1]
740,0,h,h,3,4,5,c,7,8,[0]
741,0,1,2,h,4,h,c,c,8,[8]
742,c,h,c,3,4,5,6,h,h,"[3, 4, 5, 6]"
743,0,1,h,c,c,5,6,h,8,[5]
744,c,h,2,h,h,c,h,c,c,[2]
745,0,1,2,3,4,5,h,7,c,"[0, 2, 5]"
746,0,1,2,c,4,h,6,7,8,"[0, 1, 2, 4, 6, 7, 8]"
747,c,1,c,3,4,5,h,h,8,[1]
748,0,c,2,h,4,h,6,7,c,[4]
749,0,1,c,3,4,c,h,h,8,[8]
750,0,h,c,3,c,5,6,h,h,[6]
751,0,c,h,3,4,h,h,c,c,[4]
752,c,c,2,c,h,h,h,7,h,[2]
753,0,1,2,h,c,h,6,7,8,"[0, 1, 2, 6, 7, 8]"
754,c,c,h,h,4,5,h,h,c,[4]
755,0,1,c,h,4,5,h,c,8,[0]
756,0,h,h,c,4,5,c,h,c,[0]
757,h,h,c,c,4,5,6,h,8,[4]
758,0,c,2,c,h,h,h,7,c,[2]
759,c,h,2,3,4,c,6,h,8,[4]
760,c,h,2,h,c,h,6,7,8,[8]
761,0,c,c,h,h,c,h,7,8,"[0, 8]"
762,h,1,c,c,c,h,6,h,8,[6]
763,0,1,c,h,4,5,h,7,c,[5]
764,c,c,2,3,4,h,c,h,h,"[2, 3]"
765,0,1,h,3,h,5,6,c,8,[6]
766,c,h,c,h,4,5,h,c,8,[8]
767,h,1,h,c,4,h,c,c,8,[8]
768,0,1,2,3,4,h,6,h,c,"[1, 3, 4]"
769,c,h,h,c,4,c,6,h,8,"[4, 6]"
770,c,c,2,3,4,h,h,h,c,"[2, 4]"
771,0,h,h,h,h,c,c,c,8,[8]
772,c,c,h,h,4,5,6,7,h,[5]
773,0,1,h,3,h,5,6,7,c,[6]
774,c,h,2,3,h,5,c,c,h,[3]
775,0,1,h,c,4,c,6,h,h,[4]
776,0,h,h,3,4,5,h,c,c,"[0, 3, 4, 5]"
777,c,1,h,c,4,5,6,7,h,[6]
778,0,1,h,h,c,c,h,c,h,[1]
779,h,1,c,3,4,c,6,7,h,[4]
780,0,h,h,3,4,h,6,c,c,[6]
781,h,h,2,h,4,c,c,c,h,"[2, 4]"
782,c,1,2,h,4,5,h,c,8,"[1, 4]"
783,0,h,2,c,4,5,6,h,c,[4]
784,0,1,h,h,c,5,6,h,c,[0]
785,0,1,2,h,c,5,h,7,c,[0]
786,c,c,2,h,c,5,6,h,h,[2]
787,c,c,h,h,4,h,c,h,8,"[4, 8]"
788,0,h,h,3,c,c,h,7,c,"[0, 3]"
789,0,h,h,3,h,c,c,7,8,"[0, 3, 7, 8]"
790,0,h,c,c,h,c,6,7,h,"[0, 6, 7]"
791,c,h,h,3,4,c,c,h,h,[3]
792,0,h,2,3,4,c,h,7,8,[4]
793,0,1,c,3,c,h,6,7,h,[6]
794,h,c,h,3,h,5,c,c,8,[8]
795,0,c,2,h,4,c,6,7,h,"[0, 4, 6, 7]"
796,0,c,h,3,4,5,h,7,8,[4]
797,c,h,h,c,h,5,6,c,8,[6]
798,h,h,2,c,4,c,h,7,c,"[2, 4]"
799,c,h,h,h,c,c,c,7,h,[7]
800,0,1,2,3,c,5,h,c,h,[1]
801,c,1,h,3,4,5,6,h,8,[6]
802,h,c,h,c,4,h,c,h,8,[8]
803,c,h,c,h,c,5,6,h,h,[6]
804,h,c,c,3,h,c,6,h,8,[8]
805,h,1,2,3,h,c,c,h,8,"[1, 2, 3, 8]"
806,0,1,2,3,h,5,h,c,8,[2]
807,0,1,h,c,h,5,6,c,8,[6]
808,h,c,2,h,4,5,6,7,c,[6]
809,c,h,c,3,c,h,h,7,h,[7]
810,0,c,h,3,h,5,c,h,c,"[0, 3, 5]"
811,0,h,2,3,c,5,6,7,8,"[0, 2, 3, 5, 6, 8]"
812,h,c,h,h,c,c,c,7,h,[7]
813,h,h,c,c,c,h,6,h,c,[6]
814,0,1,2,h,4,c,6,h,c,[2]
815,h,1,h,h,c,5,6,c,8,[1]
816,0,h,c,h,4,h,6,c,8,[4]
817,0,1,c,3,4,5,6,h,8,"[0, 4, 8]"
818,0,c,h,c,4,c,6,h,h,[4]
819,0,h,c,3,h,c,6,7,h,"[0, 3, 6, 7]"
820,0,c,h,c,4,5,h,7,8,[4]
821,c,1,2,c,h,c,h,h,8,"[1, 2, 8]"
822,0,1,2,c,h,5,6,7,8,"[0, 1, 2, 6, 7, 8]"
823,h,h,c,c,h,5,h,c,c,[5]
824,0,c,h,h,h,c,c,h,c,[0]
825,c,c,h,c,h,c,6,h,h,[6]
826,0,1,2,3,h,c,c,h,h,"[0, 1, 2, 3]"
827,h,1,h,c,c,5,c,7,h,[5]
828,0,h,2,3,c,h,h,c,8,"[0, 2]"
829,0,1,2,3,4,c,h,7,8,[8]
830,c,1,2,h,4,5,6,h,8,[2]
831,0,c,c,h,4,5,h,7,8,[0]
832,c,c,2,3,h,h,6,h,c,[2]
833,h,h,c,c,4,5,6,c,h,[4]
834,0,c,2,c,h,c,6,h,h,"[0, 2, 6]"
835,h,h,c,3,c,c,6,h,h,"[3, 6]"
836,c,h,c,h,4,5,c,h,8,[4]
837,c,1,h,h,4,h,6,c,8,"[1, 4, 6, 8]"
838,h,1,c,c,h,h,6,c,8,[8]
839,h,c,2,3,4,h,c,7,8,"[4, 7]"
840,h,c,c,h,4,h,6,c,8,[4]
841,h,1,c,3,h,5,h,c,c,[5]
842,0,h,h,3,4,c,6,7,c,[0]
843,h,1,2,3,c,5,c,7,h,[2]
844,0,h,2,3,h,5,c,7,c,[7]
845,0,1,2,c,h,c,h,h,8,"[0, 1, 2, 8]"
846,0,1,2,3,4,c,6,h,8,"[4, 8]"
847,0,1,h,3,4,c,6,7,h,[4]
848,c,h,2,h,4,h,c,c,h,"[2, 4]"
849,0,c,2,3,4,5,h,7,h,[7]
850,c,c,h,h,h,5,6,c,8,"[5, 6, 8]"
851,0,1,2,h,4,5,6,c,8,"[4, 6]"
852,0,h,c,3,h,h,6,7,c,"[0, 3, 6, 7]"
853,c,c,2,h,4,5,6,h,8,[2]
854,h,h,c,c,h,h,c,7,c,[7]
855,0,h,2,c,4,h,c,7,8,[0]
856,0,1,h,3,4,h,c,7,c,[7]
857,0,h,c,3,4,h,c,h,c,[4]
858,h,c,2,h,4,c,c,7,h,[4]
859,0,h,c,c,4,h,h,7,8,"[4, 7, 8]"
860,h,1,c,h,4,c,c,7,h,[4]
861,c,1,c,h,4,5,6,h,8,[1]
862,0,c,c,h,h,5,6,h,8,[0]
863,0,h,h,3,c,5,6,7,8,[0]
864,0,1,2,c,c,h,c,h,h,"[0, 2]"
865,h,h,2,h,h,c,c,c,8,[8]
866,h,c,2,3,4,5,6,h,c,"[2, 3, 4, 5, 6]"
867,c,h,2,3,4,5,h,7,c,[4]
868,0,h,2,h,h,c,6,c,c,"[2, 6]"
869,c,h,2,h,4,c,6,7,8,[8]
870,0,1,2,c,4,h,6,7,h,[2]
871,h,h,c,3,4,c,6,7,8,[8]
872,h,1,2,h,c,c,c,h,8,[2]
873,c,1,h,c,h,c,6,h,h,[6]
874,0,h,h,c,c,h,h,c,8,"[0, 8]"
875,0,c,2,h,c,5,6,7,h,[7]
876,c,1,2,c,h,5,6,h,h,[6]
877,0,h,2,3,4,h,6,c,8,"[0, 2]"
878,0,1,h,3,c,5,h,7,8,"[1, 3, 5, 7]"
879,0,h,2,3,4,c,6,c,h,"[0, 2, 3, 4]"
880,0,h,2,c,h,5,6,c,8,[6]
881,c,h,2,3,4,c,6,h,h,"[2, 3, 4, 6]"
882,c,1,2,h,c,5,h,c,h,[1]
883,h,1,c,c,c,h,6,h,h,[6]
884,0,h,2,h,4,c,6,7,8,"[0, 6]"
885,0,1,c,3,4,5,h,7,h,[7]
886,0,1,h,h,h,5,c,c,8,[8]
887,c,h,h,h,4,c,6,c,h,"[4, 6]"
888,h,1,2,c,4,h,c,7,8,"[2, 8]"
889,h,c,2,3,h,c,c,h,8,[8]
890,0,1,c,c,4,h,h,h,8,[8]
891,c,h,h,h,h,c,6,c,c,[6]
892,h,1,c,3,4,c,6,h,8,[8]
893,h,1,h,c,c,h,6,7,c,[1]
894,0,h,2,c,4,5,h,7,8,[4]
895,h,c,2,c,h,h,6,7,8,[8]
896,c,c,h,h,c,5,6,h,h,"[5, 6]"
897,c,1,c,3,h,h,c,h,8,"[1, 3]"
898,h,1,2,c,c,h,c,7,h,[2]
899,0,1,h,3,4,5,h,c,c,[4]
900,0,c,c,h,h,5,h,h,c,"[0, 5]"
901,0,1,2,h,c,h,c,7,8,[2]
902,h,c,h,h,h,c,6,c,c,[6]
903,c,h,h,c,4,5,h,h,c,[4]
904,c,1,h,h,4,5,6,7,8,"[4, 5]"
905,0,1,c,h,4,h,c,7,h,[4]
906,0,1,c,h,h,5,6,7,8,[5]
907,h,h,c,3,c,5,h,c,h,[3]
908,0,1,h,c,4,c,h,7,8,[4]
909,0,1,h,3,4,h,6,7,c,"[6, 7]"
910,0,c,c,h,4,h,6,7,8,[0]
911,h,h,c,h,h,c,c,c,8,[8]
912,h,1,2,h,4,c,c,c,h,[4]
913,h,1,2,c,h,5,6,7,c,"[1, 2, 6, 7]"
914,0,h,h,c,h,5,6,7,c,"[0, 5, 6, 7]"
915,c,c,h,h,4,5,c,7,h,[5]
916,0,c,2,h,4,5,h,c,h,[4]
917,0,h,2,3,4,5,c,h,8,[4]
918,h,1,2,3,c,h,6,7,c,"[6, 7]"
919,0,h,2,3,c,5,6,7,h,"[0, 2, 3, 5]"
920,0,h,h,c,c,5,h,7,8,[5]
921,0,1,h,3,4,5,6,7,8,[4]
922,0,h,2,h,c,h,6,c,8,"[6, 8]"
923,0,c,h,h,h,5,c,7,c,[7]
924,0,h,2,c,c,5,h,c,h,[5]
925,h,c,h,3,4,h,c,c,8,"[4, 8]"
926,c,c,2,c,h,h,h,h,c,[2]
927,0,c,h,c,4,5,h,7,h,"[0, 4, 5, 7]"
928,c,h,h,3,4,h,c,c,8,"[3, 8]"
929,h,1,2,c,4,5,h,c,8,[4]
930,0,h,c,c,h,5,6,c,h,[0]
931,h,c,h,3,4,h,c,7,c,[7]
932,h,c,c,3,h,5,h,7,8,"[3, 5, 7, 8]"
933,h,1,2,c,c,5,h,7,h,[5]
934,h,1,c,3,c,h,h,h,c,[3]
935,0,h,c,h,h,5,c,c,h,"[0, 5]"
936,h,1,c,h,h,5,c,7,8,"[1, 5, 7, 8]"
937,h,c,c,h,4,c,6,h,8,[8]
938,h,c,h,c,c,5,6,h,h,[5]
939,h,c,2,c,h,h,h,c,c,[2]
940,c,1,2,h,h,c,h,7,c,[2]
941,h,c,h,3,c,c,h,h,c,[3]
942,c,c,2,c,h,5,h,h,8,[2]
943,0,h,c,c,4,h,h,h,c,[4]
944,c,h,h,c,c,h,h,c,8,[8]
945,0,1,c,h,4,5,6,h,8,"[0, 8]"
946,0,c,c,c,h,5,6,h,h,[0]
947,c,h,c,h,4,h,c,h,8,[4]
948,c,c,2,h,4,h,h,c,8,"[2, 4]"
949,0,1,2,3,4,5,6,7,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
950,h,1,2,c,h,5,c,7,8,[8]
951,0,h,h,3,c,5,6,h,c,[0]
952,h,c,2,c,h,5,h,7,8,"[2, 5, 7, 8]"
953,h,c,c,c,c,h,6,h,h,[6]
954,c,1,2,h,4,c,h,h,8,[8]
955,0,1,2,h,h,c,6,c,8,[8]
956,0,h,c,c,h,h,6,c,8,[6]
957,h,1,2,h,4,5,c,7,8,"[7, 8]"
958,0,c,h,3,4,5,c,h,8,"[0, 3, 4, 5, 8]"
959,c,c,h,h,h,5,6,c,h,"[5, 6]"
960,0,c,h,h,h,c,6,7,c,[6]
961,c,c,2,h,4,5,6,h,h,[2]
962,0,1,2,3,c,h,6,7,8,"[0, 1, 2, 6, 7, 8]"
963,0,1,2,h,h,c,6,7,c,[2]
964,0,h,2,c,c,h,6,7,8,"[0, 6]"
965,h,c,2,h,c,h,6,7,8,[7]
966,c,1,h,3,h,h,6,c,8,"[1, 3, 6, 8]"
967,h,h,c,c,4,5,h,7,c,[5]
968,c,1,2,3,h,h,6,7,8,[3]
969,h,c,c,c,h,h,h,7,c,[7]
970,h,1,h,3,c,h,c,c,8,"[1, 8]"
971,0,1,h,h,h,c,6,c,c,[6]
972,c,1,2,3,4,5,h,7,8,"[1, 2, 8]"
973,0,1,h,h,c,h,c,7,8,[8]
974,0,h,2,c,4,5,6,c,h,"[0, 2, 4, 5]"
975,0,1,2,3,4,5,h,h,c,"[2, 5]"
976,0,1,2,c,4,h,6,h,8,"[2, 8]"
977,0,c,2,h,4,h,6,h,c,[4]
978,h,1,h,3,h,c,c,c,8,[8]
979,h,c,c,c,4,h,h,h,8,[8]
980,h,c,2,h,h,c,c,h,8,[8]
981,h,c,c,3,4,h,h,7,c,[3]
982,c,h,2,c,h,5,6,7,8,[6]
983,h,h,2,c,h,c,h,c,c,[2]
984,h,h,c,c,c,h,h,7,c,[7]
985,0,1,c,3,h,h,6,c,8,[3]
986,h,1,2,c,4,5,6,7,h,[4]
987,h,c,h,c,h,h,c,7,c,[7]
988,0,1,2,3,h,5,6,c,8,"[0, 2, 3, 5, 6, 8]"
989,0,c,c,c,h,h,h,h,8,[0]
990,0,c,2,c,h,h,h,h,c,[2]
991,0,1,c,3,h,h,c,h,8,"[0, 1, 3, 8]"
992,c,h,h,c,4,5,6,7,h,[6]
993,h,c,c,c,h,h,6,h,c,[6]
994,h,1,2,h,c,5,c,c,h,"[1, 2]"
995,c,c,h,h,c,h,c,h,8,[8]
996,0,1,2,c,4,h,h,7,c,"[0, 1, 2, 4, 7]"
997,0,h,h,h,c,5,c,c,8,[8]
998,h,c,2,3,4,h,h,c,8,[4]
999,c,1,2,3,4,5,6,h,8,"[2, 4, 6]"
1000,0,c,c,h,c,5,h,7,h,"[0, 7]"
1001,0,1,2,3,4,h,c,h,8,[0]
1002,h,1,2,c,4,h,c,7,h,"[1, 2, 4, 7]"
1003,h,c,h,c,c,5,h,7,8,"[5, 7]"
1004,0,c,2,3,4,h,6,h,c,[0]
1005,0,c,2,h,c,h,h,h,c,[0]
1006,h,1,2,3,h,c,h,c,8,"[1, 2, 3, 8]"
1007,h,1,2,3,h,c,6,7,c,[2]
1008,c,1,h,h,c,5,h,7,8,[8]
1009,c,c,2,h,4,h,6,7,h,[2]
1010,0,c,h,3,h,5,c,c,h,"[0, 3, 5]"
1011,h,1,h,h,c,c,c,h,8,[1]
1012,0,1,2,h,4,c,6,c,h,"[0, 1, 4, 6]"
1013,0,h,2,h,4,5,6,c,8,"[0, 2]"
1014,0,1,c,h,4,h,h,c,c,"[0, 1, 4]"
1015,0,h,2,c,4,h,h,c,8,[2]
1016,h,h,2,c,c,h,6,h,c,[2]
1017,0,1,2,h,c,h,c,7,h,[2]
1018,c,1,2,h,4,h,6,7,c,[4]
1019,h,1,2,3,4,c,h,c,8,[3]
1020,h,c,2,h,c,5,c,7,h,"[2, 7]"
1021,0,1,c,3,c,h,6,h,h,[6]
1022,h,1,2,3,4,c,c,7,h,[4]
1023,c,c,2,3,h,h,6,c,h,[2]
1024,0,1,c,c,4,5,h,7,h,[7]
1025,c,c,2,h,4,5,h,7,8,[2]
1026,0,1,2,3,c,h,h,c,8,[1]
1027,0,1,2,c,4,c,h,h,8,[4]
1028,h,c,2,3,h,5,h,7,c,"[2, 3, 5, 7]"
1029,h,1,c,3,c,h,6,7,h,[6]
1030,c,1,h,c,4,h,h,7,8,"[1, 4, 7, 8]"
1031,0,h,h,h,4,c,c,c,8,[8]
1032,0,1,h,h,4,c,6,c,8,"[0, 1, 4, 6]"
1033,0,h,c,3,h,c,h,7,8,[8]
1034,h,c,h,c,4,c,h,7,h,[4]
1035,c,1,c,3,c,h,h,h,8,"[1, 8]"
1036,0,1,h,h,4,c,c,h,8,"[0, 1, 4]"
1037,h,c,c,3,4,5,h,7,8,[3]
1038,h,1,c,c,c,h,h,h,c,[1]
1039,0,c,h,h,c,h,6,h,c,[0]
1040,c,1,h,h,4,c,c,h,h,"[1, 4]"
1041,c,h,h,3,4,5,6,c,8,"[6, 8]"
1042,0,1,c,3,h,5,6,c,h,[0]
1043,0,h,c,3,c,h,h,7,8,"[0, 3, 7, 8]"
1044,0,1,h,3,h,c,6,7,8,[6]
1045,h,c,h,3,4,5,6,7,c,[7]
